materialSampleID,occurrenceID,eventID,eventDate,eventDate2,eventDate3,basisOfRecord,recordedBy,identifiedBy,collectionCode,individualCount,sex,lifeStage,establishmentMeans,degreeOfEstablishment,occurrenceStatus,dateIdentified,identificationRemarks,scientificName,kingdom,taxonRank,nomenclaturalCode
"",ITG:MEMO: 00000001,ITG:MEMO:EVM17ATO001AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17Molec01AR,ITG:MEMO:M17O0040,ITG:MEMO:EVM17ATO001OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,Adwine,ITG:Memo,1,"",egg,native,native,present,2017-11-28T00:00:00.000Z,D4,Anopheles claviger,Animalia,species,ICZN
M17AT01AR,ITG:MEMO:M17O0041,ITG:MEMO:EVM17ATO001OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,Adwine,ITG:Memo,1,"",egg,native,native,present,2017-11-28T00:00:00.000Z,empty egg,Anopheles spp.,Animalia,genus,ICZN
"",ITG:MEMO: 00000031,ITG:MEMO:EVM17ATO001SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000041,ITG:MEMO:EVM18EBL012OKT08,2018-10-08/2018-10-08,2018-10-08,2018-10-08,HumanObservation,Ingrid,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
M17HA01DR,ITG:MEMO:M17B0085,ITG:MEMO:EVM17HAB016NOV13,2017-11-13/2017-11-27,2017-11-13,2017-11-27,HumanObservation,ITM,Isra,ITG:Memo,2,male,adult,native,native,present,2018-01-16T00:00:00.000Z,no scales,Culex pipiens/torrentium,Animalia,species aggregate,ICZN
KBIN,ITG:MEMO:M17B0086,ITG:MEMO:EVM17HAB016NOV13,2017-11-13/2017-11-27,2017-11-13,2017-11-27,HumanObservation,ITM,Isra,ITG:Memo,1,female,adult,native,native,present,2018-01-16T00:00:00.000Z,M17HA01DR,Culiseta annulata,Animalia,species,ICZN
"",ITG:MEMO: 00000071,ITG:MEMO:EVM17ATO002OKT24,2017-10-24/2017-11-21,2017-10-24,2017-11-21,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000081,ITG:MEMO:EVM17ATO002AUG29,2017-08-29/2017-09-26,2017-08-29,2017-09-26,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
"",ITG:MEMO: 00000091,ITG:MEMO:EVM17ATO002SEP26,2017-09-26/2017-10-24,2017-09-26,2017-10-24,HumanObservation,ITM,"",ITG:Memo,0,"","","","",absent,"","",Culicidae,Animalia,species,ICZN
