occurrenceID;eventID ;basisOfRecord;collectionCode;lifeStage;occurrenceStatus;occurrenceRemarks;recordedBy;individualCount;sex;behavior;scientificName;vernacularName;kingdom;phylum;class;order;nomenclaturalCode;taxonRank
INBO:MEETNET:OCC:0001672;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;target species;https://meetnetten.be;12;male;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001673;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;target species;https://meetnetten.be;2;female;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001674;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001675;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001676;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;target species;https://meetnetten.be;2;unknown;copula;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001677;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;egg laying;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001682;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;100;unknown;present;Cordulia aenea;Smaragdlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001683;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;2;unknown;present;Orthetrum coerulescens;Beekoeverlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001684;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;10;male;present;Enallagma cyathigerum;Watersnuffel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001685;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;50;unknown;present;Pyrrhosoma nymphula;Vuurjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001686;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;100;male;present;Erythromma najas;Grote roodoogjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001687;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;50;unknown;copula;Erythromma najas;Grote roodoogjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001700;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;10;unknown;present;Ceriagrion tenellum;Koraaljuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001701;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;4;unknown;present;Libellula depressa;Platbuik;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001702;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;111;unknown;present;Libellula quadrimaculata;Viervlek;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001703;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;250;unknown;present;Coenagrion puella;Azuurwaterjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001704;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;1;unknown;present;Orthetrum cancellatum;Gewone oeverlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001694;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;female;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001695;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001696;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001697;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;copula;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001698;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;egg laying;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001699;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;exuviae;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001688;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;1;male;present;Sympecma fusca;Bruine winterjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001689;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;100;male;present;Ischnura elegans;Lantaarntje;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001690;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;15;unknown;present;Aeshna isoceles;Vroege glazenmaker;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001691;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;4;male;present;Anax imperator;Grote keizerlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001692;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;2;male;present;Brachytron pratense;Glassnijder;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001693;INBO:MEETNET:EVENT:000796;HumanObservation;meetnetten;imago;present;target species;https://meetnetten.be;3;male;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001705;INBO:MEETNET:EVENT:000798;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;25;unknown;present;Cordulia aenea;Smaragdlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001706;INBO:MEETNET:EVENT:000798;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;50;male;present;Pyrrhosoma nymphula;Vuurjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001707;INBO:MEETNET:EVENT:000798;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;10;male;present;Erythromma najas;Grote roodoogjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001708;INBO:MEETNET:EVENT:000798;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;5;male;present;Anax imperator;Grote keizerlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001681;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;1;male;present;Calopteryx splendens;Weidebeekjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001680;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;50;unknown;present;Coenagrion puella;Azuurwaterjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001679;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;65;unknown;present;Libellula quadrimaculata;Viervlek;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001678;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;exuviae;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001671;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;2;male;present;Leucorrhinia dubia;Venwitsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001670;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;2;unknown;present;Brachytron pratense;Glassnijder;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001669;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;3;unknown;present;Anax imperator;Grote keizerlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001668;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;50;unknown;present;Lestes sponsa;Gewone pantserjuffer;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001667;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;400;unknown;present;Enallagma cyathigerum;Watersnuffel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001666;INBO:MEETNET:EVENT:000794;HumanObservation;meetnetten;imago;present;casual observation;https://meetnetten.be;23;unknown;present;Cordulia aenea;Smaragdlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001638;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;exuviae;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001637;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;egg laying;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001636;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;copula;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001635;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001634;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001633;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;female;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001632;INBO:MEETNET:EVENT:000770;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;male;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001631;INBO:MEETNET:EVENT:000768;HumanObservation;meetnetten;exuviae;absent;target species;https://meetnetten.be;0;unknown;present;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
INBO:MEETNET:OCC:0001630;INBO:MEETNET:EVENT:000768;HumanObservation;meetnetten;imago;absent;target species;https://meetnetten.be;0;unknown;egg laying;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Animalia;Arthropoda;Insecta;Odonata;ICZN;species
